Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS_Automobile,MTRANS_Bike,MTRANS_Motorbike,MTRANS_Public_Transportation,MTRANS_Walking,NObeyesdad
-0.20688898174867157,1.0540285399793792,-0.36609012870569374,1.0,0.0,-0.7850187010698834,0.4041527212394904,1,0.0,-0.013073263985237213,0.0,1.163820376321623,1.0,2.461490634110094,False,False,False,True,False,1
0.4235818278170949,1.0540285399793792,0.015808378350520555,0.0,0.0,1.088341755265735,0.4041527212394904,1,0.0,-0.013073263985237213,0.0,1.163820376321623,0.0,2.461490634110094,False,False,False,False,True,5
-0.36450668414011317,0.8396265529929473,0.12273996032626044,0.0,0.0,-0.7850187010698834,-2.1670227344876687,1,0.0,-0.013073263985237213,0.0,-1.1880391100619079,0.0,0.5211595181256249,False,False,False,True,False,6
0.7388172325999781,-0.8755893428985058,-1.282646545640608,0.0,1.0,-0.7850187010698834,0.4041527212394904,1,0.0,-0.013073263985237213,0.0,-1.1880391100619079,0.0,0.5211595181256249,True,False,False,False,False,1
-0.36450668414011317,-0.6611873559120762,-1.282646545640608,0.0,0.0,-0.7850187010698834,0.4041527212394904,1,0.0,-0.013073263985237213,0.0,2.3397501195133885,0.0,0.5211595181256249,False,False,False,True,False,1
-0.049271279357229955,0.8396265529929473,-0.8625581878787723,1.0,1.0,1.088341755265735,0.4041527212394904,1,0.0,-0.013073263985237213,0.0,-0.01210936687014236,1.0,2.461490634110094,False,False,False,True,False,1
-0.36450668414011317,0.1964205920336515,-0.7097987850562866,1.0,1.0,-0.7850187010698834,0.4041527212394904,1,0.0,-0.013073263985237213,0.0,-0.01210936687014236,1.0,-1.4191715978588444,False,False,False,True,False,1
0.2659641254256533,1.590033507445459,0.7032256910517063,1.0,1.0,1.088341755265735,0.4041527212394904,2,0.0,1.6187585428550124,0.0,1.163820376321623,2.0,0.5211595181256249,False,False,False,True,False,2
-0.36450668414011317,-0.5539863624188602,-1.1680769935237438,0.0,0.0,1.088341755265735,0.4041527212394904,1,0.0,1.6187585428550124,0.0,1.163820376321623,0.0,0.5211595181256249,False,False,False,True,False,1
2.6302296612972773,1.0540285399793792,0.4740865868179777,0.0,1.0,-0.7850187010698834,0.4041527212394904,1,0.0,-0.013073263985237213,0.0,1.163820376321623,1.0,2.461490634110094,True,False,False,False,False,2
